title,audience_rating,critic_rating
"The Duke",6.9,74
"The Edge of Love",6.1,39
"The Electrical Life of Louis Wain",6.8,63
"The Elephant Man",8.2,78
"The End of the Tour",7.2,82
"The Epidemic",6.2,66
"The Express",7.2,58
"The Extraordinary Adventures of Ad̬le Blanc-Sec",6.3,66
"The Eyes of Tammy Faye",6.6,55
"The Fabulous Baron Munchausen",7.7,66
"The Face in the Wall",6.7,66
"The Falcon and the Snowman",6.8,68
"The Favourite",7.5,91
"The Fifth Estate",6.2,49
"The Fighter",7.8,79
"The Fog of War",8.1,87
"The Founder",7.2,66
"The Fresh Air Will Do You Good",6.8,66
"The Front Runner",6.1,61
"The Frozen Ground",6.4,37
"The Gambler",6,55
"The General",7.2,81
"The Girl in the Spider's Web",6.1,43
"The Glass Castle",7.1,56
"The Glenn Miller Story",7.3,66
"The Glorias",6,58
"The Good Lie",7.4,65
"The Good Nurse",6.8,65
"The Goonies",7.7,62
"The Gospel of John",7.8,52
"The Grandmaster",6.6,73
"The Great Debaters",7.5,65
"The Great Mouse Detective",7.1,73
"The Great Muppet Caper",7.1,70
"The Greatest Game Ever Played",7.4,55
"The Greatest Showman",7.5,48
"The Greatest Story Ever Told",6.6,66
"The Green Knight",6.6,85
"The Green Mile",8.6,61
"The Grizzlies",7.5,69
"The Handmaid's Tale",6,53
"The Happy Prince",6.2,64
"The Hiding Place",7.4,66
"The Highwaymen",6.9,58
"The Hill",6.7,48
"The Hobbit: The Desolation of Smaug",7.8,66
"The House with a Clock in Its Walls",6.1,57
"The Hunter",6.2,31
"The Huntsman: Winter's War",6.1,35
"The Hurricane",7.6,74
"The Iceman",6.8,60
"The Imitation Game",8,71
"The Imposter",7.5,77
"The Infiltrator",7,66
"The Informant!",6.5,66
"The Insider",7.8,85
"The Invisible Woman",6.1,75
