title,audience_rating,critic_rating
"Cry Freedom",7.4,59
"Dallas Buyers Club",7.9,77
"Dangerous Beauty",7.1,66
"Dangerous Minds",6.5,46
Danton,7.4,66
"Dark Waters",7.6,73
De-Lovely,6.6,53
Denial,6.8,63
"Der achte Tag",5.8,66
"Der Mann mit dem Objektiv",6.4,66
"Dersu Uzala",8.2,66
"Desert Flower",7.3,54
"Despicable Me",7.6,72
Devotion,6.6,66
Dillinger,6.9,66
"Dino Brained",5.4,66
Divergent,6.6,48
"Doctor Sleep",7.3,59
"Dog Day Afternoon",8,86
Dogma,7.3,62
"Dolemite Is My Name",7.2,76
"Don't Worry, He Won't Get Far on Foot",6.8,67
"Donnie Brasco",7.7,77
"Dora and the Lost City of Gold",6.1,63
"Dora and the Lost City of Gold",6.1,63
Downfall,8.2,82
"Dragon: The Bruce Lee Story",7,69
Dragonfly,8,66
"Dream Horse",6.9,68
"Dream House",6,35
"Dream Scenario",6.9,74
"Dreamin' Wild",6.4,66
Driven,6.4,55
"Dual: Herederos del pasado",6.5,66
"Dumb Money",6.9,66
Echtzeit,6.1,66
"Ed Wood",7.8,71
"Eddie the Eagle",7.3,54
"Edward Scissorhands",7.9,74
"Effie Gray",6,54
Eiffel,6.2,52
Eileen,6,72
Elage,7.3,66
Elemental,7,58
Elizabeth,7.4,75
"Elizabeth: The Golden Age",6.8,45
"Elvira Madigan",7,66
Elvis,7.3,64
Emily,6.8,75
"En Rathathin Rathame",5.2,66
Encanto,7.2,75
"End of the Spear",6.8,45
"Enola Holmes",6.6,68
"Enola Holmes 2",6.8,64
"Enron: The Smartest Guys in the Room",7.6,66
Epic,6.6,52
"Erin Brockovich",7.4,73
"Escape from Alcatraz",7.6,76
"Escape from Pretoria",6.8,56
"Escape Room",6.4,48
"Escape to Witch Mountain",6.3,60
Everest,7.1,64
"Everybody's Talking About Jamie",6.6,62
Evita,6.3,45
Excalibur,7.3,56
Exhuma,7,66
Exhuma,7,66
"Exodus: Gods and Kings",6,52
Experimenter,6.6,81
"Extremely Wicked, Shockingly Evil and Vile",6.7,52
"Factory Girl",6.3,45
"Fair Game",6.8,69
"Fall of Lotus: A Star Wars Story",6.3,66
"Fast Charlie",6,65
"Fast Shark III: Fastest Shark",9,66
"Fat Man and Little Boy",6.5,50
"Father Stu",6.5,40
Fearless,7.6,70
Ferrari,6.4,73
"Field of Dreams",7.5,57
"Fighting with My Family",7.1,68
"Film Stars Don't Die in Liverpool",6.7,65
"Filme B - Os Mutantes do Espa̤o",6.9,66
"Find Me Guilty",7,65
"Finding Nemo",8.2,90
"Finding Neverland",7.7,67
Finestkind,6,44
"Fire in the Sky",6.5,42
"Fire of Love",7.6,84
Firebird,7.1,49
"First Knight",6,57
"First Man",7.3,84
"Five Nights at Freddy's",5.5,33
"Five Nights at Freddy's",5.5,33
"Flamin' Hot",6.7,58
"Flash of Genius",7,57
Flee,7.9,91
"Florence Foster Jenkins",6.8,71
"Ford v Ferrari",8.1,81
Foxcatcher,7,81
Frances,7.2,48
"Frankenstein's Planet of Monsters!",5,66
"Free State of Jones",6.9,53
"Free Willy",6,79
"Freedom Writers",7.6,64
Freeheld,6.6,50
Frida,7.3,61
Frost/Nixon,7.7,80
Frozen,7.4,75
"Fruitvale Station",7.5,85
"Funny Girl",7.4,88
"Funny Lady",6.2,66
"Fur: An Imaginary Portrait of Diane Arbus",6.3,50
"Future War 198X",6.2,66
"Futurus - Robot contro uomini",8.5,66
"G.I. Jane",6,62
"Galaxy Express 999: To the Center of the Universe!",5.9,66
Gandhi,8,79
Genius,6.5,56
Georgetown,6.2,49
"Get on Up",6.9,71
"Get Out",7.8,85
"Get Out",7.8,85
Ghost,7.1,52
"Girl with a Pearl Earring",6.9,72
"Girl, Interrupted",7.3,51
Glory,7.8,78
"Glory Road",7.2,58
"Godard Mon Amour",6.6,55
"Gods and Generals",6.2,30
"Gods and Monsters",7.3,74
Gold,6.7,49
"Good Morning, Vietnam",7.3,67
"Good Night, and Good Luck.",7.4,80
"Goodbye Christopher Robin",7.1,54
Goodfellas,8.7,92
"Gorillas in the Mist",7,66
"Goya's Ghosts",6.9,52
"Great Balls of Fire!",6.3,49
Greater,7.4,35
"Green Book",8.2,69
Greta,6,54
"Gridiron Gang",7.1,52
"Grizzly Man",7.8,87
"Groundhog Day",8,72
"Guillermo del Toro's Pinocchio",7.6,79
"Guillermo del Toro's Pinocchio",7.6,79
